mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
ESP8685-WROOM-05-H4	ESP8685-WROOM-05	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	15.0*17.3*2.8	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-06-H4	ESP8685-WROOM-06	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	15.8*20.3*2.7	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-07-H2	ESP8685-WROOM-07	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"2, Quad"	400	384	"0, Quad"	160	8.5*12.7*1.9	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-07-H4	ESP8685-WROOM-07	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	8.5*12.7*1.9	1200	4800	NO	v0.x	3.0 ~ 3.6
ESP8684-MINI-1-H2	ESP8684-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	13.2*16.6*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-MINI-1-H4	ESP8684-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	13.2*16.6*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-03-H2	ESP8684-WROOM-03	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	8	"2, Quad"	272	576	"0, Quad"	120	15.0*17.3*2.8	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-03-H4	ESP8684-WROOM-03	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	8	"4, Quad"	272	576	"0, Quad"	120	15.0*17.3*2.8	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-05-H2	ESP8684-WROOM-05	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	5	"2, Quad"	272	576	"0, Quad"	120	15.0*17.3*2.8	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-05-H4	ESP8684-WROOM-05	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	5	"4, Quad"	272	576	"0, Quad"	120	15.0*17.3*2.8	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-06C-H2	ESP8684-WROOM-06C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	15.8*20.3*2.7	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-06C-H4	ESP8684-WROOM-06C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	15.8*20.3*2.7	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-07-H2	ESP8684-WROOM-07	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	3	"2, Quad"	272	576	"0, Quad"	120	8.5*12.7*1.9	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-07-H4	ESP8684-WROOM-07	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	3	"4, Quad"	272	576	"0, Quad"	120	8.5*12.7*1.9	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-01C-H2	ESP8684-WROOM-01C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	24*16*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-01C-H4	ESP8684-WROOM-01C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	24*16*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-02C-H2	ESP8684-WROOM-02C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	18*20*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-02C-H4	ESP8684-WROOM-02C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	18*20*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-04C-H2	ESP8684-WROOM-04C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	13	"2, Quad"	272	576	"0, Quad"	120	24*16*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-04C-H4	ESP8684-WROOM-04C	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	13	"4, Quad"	272	576	"0, Quad"	120	24*16*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8685-WROOM-01-H2	ESP8685-WROOM-01	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"2, Quad"	400	384	"0, Quad"	120	24*16*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-01-H4	ESP8685-WROOM-01	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	120	24*16*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-04-H2	ESP8685-WROOM-04	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	13	"2, Quad"	400	384	"0, Quad"	120	24*16*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-04-H4	ESP8685-WROOM-04	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	13	"4, Quad"	400	384	"0, Quad"	120	24*16*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-WROVER-E-N4R2	ESP32-WROVER-E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-E-N8R2	ESP32-WROVER-E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-E-N16R2	ESP32-WROVER-E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N4R2	ESP32-WROVER-IE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N8R2	ESP32-WROVER-IE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N16R2	ESP32-WROVER-IE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"2, Quad"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-N4R2	ESP32-WROOM-32E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-N8R2	ESP32-WROOM-32E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-N16R2	ESP32-WROOM-32E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N4R2	ESP32-WROOM-32UE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"2, Quad"	240	18*19.2*3.2	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N8R2	ESP32-WROOM-32UE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"2, Quad"	240	18*19.2*3.2	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N16R2	ESP32-WROOM-32UE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"2, Quad"	240	18*19.2*3.2	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-C6-WROOM-1-N4	ESP32-C6-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	23	"4, Quad"	512	320	"0, Quad"	160	25.5*18*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-WROOM-1U-N4	ESP32-C6-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	23	"4, Quad"	512	320	"0, Quad"	160	18x19.2x3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-WROOM-1-N8	ESP32-C6-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	23	"8, Quad"	512	320	"0, Quad"	160	25.5*18*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-WROOM-1U-N8	ESP32-C6-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	23	"8, Quad"	512	320	"0, Quad"	160	18x19.2x3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-WROOM-1-N16	ESP32-C6-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	23	"16, Quad"	512	320	"0, Quad"	160	25.5*18*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-MINI-1-N4	ESP32-C6-MINI-1	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	22	"4, Quad"	512	320	"0, Quad"	160	13.2*16.6*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-MINI-1U-N4	ESP32-C6-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 85	22	"4, Quad"	512	320	"0, Quad"	160	13.2×12.5×2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C6-MINI-1-H8	ESP32-C6-MINI-1	Mass Production	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 105	22	"8, Quad"	512	320	"0, Quad"	160	13.2*16.6*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-H2-MINI-1-N2	ESP32-H2-MINI-1	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 85	19	"2, Quad"	320	128	"0, Quad"	96	13.2*16.6*2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1U-N2	ESP32-H2-MINI-1U	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 85	19	"2, Quad"	320	128	"0, Quad"	96	13.2×12.5×2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1-N4	ESP32-H2-MINI-1	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 85	19	"4, Quad"	320	128	"0, Quad"	96	13.2*16.6*2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1U-N4	ESP32-H2-MINI-1U	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 85	19	"4, Quad"	320	128	"0, Quad"	96	13.2×12.5×2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1-H2	ESP32-H2-MINI-1	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"2, Quad"	320	128	"0, Quad"	96	13.2*16.6*2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1-H4	ESP32-H2-MINI-1	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"4, Quad"	320	128	"0, Quad"	96	13.2*16.6*2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1U-H2	ESP32-H2-MINI-1U	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"2, Quad"	320	128	"0, Quad"	96	13.2×12.5×2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-MINI-1U-H4	ESP32-H2-MINI-1U	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"4, Quad"	320	128	"0, Quad"	96	13.2×12.5×2.4	650	3250	NO	v0.x	3.3 ~ 3.6
ESP8684-WROOM-02UC-H2	ESP8684-WROOM-02UC	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	18.0*14.3*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-WROOM-02UC-H4	ESP8684-WROOM-02UC	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	18.0*14.3*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-MINI-1U-H2	ESP8684-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"2, Quad"	272	576	"0, Quad"	120	13.2*12.5*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8684-MINI-1U-H4	ESP8684-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	13.2*12.5*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-C3-WROOM-02-N8	ESP32-C3-WROOM-02	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"8, Quad"	400	384	"0, Quad"	160	18*20*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-WROOM-02U-N8	ESP32-C3-WROOM-02U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"8, Quad"	400	384	"0, Quad"	160	18*14.3*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-H2-WROOM-03-H2	ESP32-H2-WROOM-03	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	8	"2, Quad"	320	128	"0, Quad"	96	15.0*17.3*2.8	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-WROOM-03-H4	ESP32-H2-WROOM-03	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	8	"4, Quad"	320	128	"0, Quad"	96	15.0*17.3*2.8	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-WROOM-07-H2	ESP32-H2-WROOM-07	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	3	"2, Quad"	320	128	"0, Quad"	96	8.5*12.7*2.6	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-WROOM-07-H4	ESP32-H2-WROOM-07	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	3	"4, Quad"	320	128	"0, Quad"	96	8.5*12.7*2.6	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-WROOM-02C-H2	ESP32-H2-WROOM-02C	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"2, Quad"	320	128	"0, Quad"	96	18*20*3.2	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-H2-WROOM-02C-H4	ESP32-H2-WROOM-02C	Mass Production	Module	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"4, Quad"	320	128	"0, Quad"	96	18*20*3.2	650	3250	NO	v0.x	3.3 ~ 3.6
ESP32-C3-MINI-1-H4X	ESP32-C3-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	13.2*16.6*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-C61-WROOM-1-N4R2	ESP32-C61-WROOM-1	Sample	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	NA	-40 ~ 85	18	"4, Quad"	320	256	"2, Quad"	120	18*25.5*3.2	650	3250	NO		3.0 ~ 3.6
ESP32-C61-WROOM-1-N8R2	ESP32-C61-WROOM-1	Sample	Module	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	NA	-40 ~ 85	18	"8, Quad"	320	256	"2, Quad"	120	18*25.5*3.2	650	3250	NO		3.0 ~ 3.6
ESP32-S2-SOLO-2-N8	ESP32-S2-SOLO-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"8, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2U-N8	ESP32-S2-SOLO-2U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"8, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2-N16	ESP32-S2-SOLO-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"16, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2U-N16	ESP32-S2-SOLO-2U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"16, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S3	ESP32-S3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	45	"0, Quad"	512	384	"0, Quad"	240	QFN56 (7*7)	2000	2000	N/A	v0.x	3.0 ~ 3.6
ESP32-S3R2	ESP32-S3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	45	"0, Quad"	512	384	"2, Quad"	240	QFN56(7*7)	2000	2000	N/A	v0.x	3.0 ~ 3.6
ESP32-S3R8	ESP32-S3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	45	"0, Quad"	512	384	"8, Octal"	240	QFN56(7*7)	2000	2000	N/A	v0.x	3.0 ~ 3.6
ESP32-S3-PICO-1-N8R2	ESP32-S3-PICO-1	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	39	"8, Quad"	512	384	"2, Quad"	240	LGA56(7*7)	2000	2000	N/A	v0.x	3.0 ~ 3.6
ESP32-C5NR4	ESP32-C5	Sample	SoC	IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	Yes	-40 ~ 85	22	0	384	320	4	240	QFN 6*6	5000	5000	NO		3.0 ~ 3.6
ESP32-C5NF4	ESP32-C5	Sample	SoC	IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	Yes	-40 ~ 85	22	4	384	320	0	240	QFN 6*6	5000	5000	NO		3.0 ~ 3.6
ESP32-S3R8V	ESP32-S3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	45	"0, Quad"	512	384	"8, Octal"	240	QFN56(7*7)	2000	2000	N/A	v0.x	3.0 ~ 3.6
ESP32-S3FN8	ESP32-S3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	45	"8, Quad"	512	384	"0, Quad"	240	QFN56(7*7)	2000	2000	NO	v0.x	3.0 ~ 3.6
ESP32-C3	ESP32-C3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	22	"0, Quad"	400	384	"0, Quad"	160	QFN32 (5*5)	5000	5000	N/A	v0.x	3.0 ~ 3.6
ESP32-C3FN4	ESP32-C3	EOL	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	22	"4, Quad"	400	384	"0, Quad"	160	QFN32 (5*5)	5000	5000	NO	v0.x	3.0 ~ 3.6
ESP32-C3FH4	ESP32-C3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	22	"4, Quad"	400	384	"0, Quad"	160	QFN32 (5*5)	5000	5000	NO	v0.x	3.0 ~ 3.6
ESP32-C3FH4X	ESP32-C3	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	22	"4, Quad"	400	384	"0, Quad"	160	QFN32 (5*5)	5000	5000	NO	v1.x	3.0 ~ 3.6
